,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa
178,3,0,507180,30200,2220,131764,96,0,96,0,6575,1054,1,16,83,1
107,0,0,507436,30824,2340,132804,24,8,2284,52,7108,1194,2,19,79,1
172,0,0,507180,29072,2276,132848,0,0,0,0,9380,2273,1,29,70,0
1,0,0,507436,20788,2364,141056,336,0,1736,0,4881,1368,4,10,85,1
48,1,0,507692,25592,2228,132884,4,0,4,20,5462,603,1,12,87,1
9,0,0,507692,21992,2380,140220,0,0,0,0,5997,753,1,11,88,0
140,0,0,507180,33516,2188,126740,0,0,0,0,2893,405,1,5,94,0
299,0,0,507180,27420,2692,134776,0,0,0,0,387,219,0,0,100,0
75,0,0,507180,34804,2144,127480,0,0,0,16,4694,538,0,10,90,0
27,0,0,507692,29548,2188,132648,1204,0,1204,0,5053,1508,1,13,84,2
276,0,0,507180,27268,2652,134684,0,0,0,0,8840,894,1,21,78,0
18,2,0,507692,30216,2180,132616,0,0,0,52,5728,699,2,13,85,1
153,0,0,507180,29388,2244,132792,0,0,0,156,6033,889,0,17,83,1
0,0,2,507692,23268,2364,139704,228,342,1578,363,995,461,1,5,92,1
256,1,0,507180,25668,2620,134604,0,0,0,0,4298,563,0,12,88,0
16,1,0,507692,30428,2172,132584,484,1920,2092,1920,6835,2511,2,29,67,3
176,0,0,506924,22896,2284,132856,168,0,168,20,7130,1241,2,23,75,1
59,0,0,507180,26564,2100,127264,24,236,492,300,9054,4435,3,46,51,1
42,0,0,507692,27560,2212,132868,0,0,0,4,7398,737,1,14,86,0
93,0,0,507180,34368,2176,127520,0,0,0,0,2577,298,0,3,97,0
285,0,0,507180,26920,2668,134724,0,0,0,0,5468,642,1,11,88,0
92,0,0,507180,35460,2176,127520,0,0,0,28,6376,691,2,13,85,0
174,0,0,507180,28032,2284,132844,96,0,96,28,4076,600,1,9,90,1
258,0,0,507180,27004,2628,134612,0,0,0,136,4356,763,0,10,90,1
247,0,0,507180,27492,2604,134564,0,0,0,0,6860,697,0,19,81,0
